,Time[ms],Stimulation[V],mean delta F/F,median delta F/F,STD delta F/F,delta F/F repetition #1,delta F/F repetition #2,delta F/F repetition #3,delta F/F repetition #4,delta F/F repetition #5
1152,1152.0,0.0,0.14992644610404438,0.05315388404369369,0.2970075695863793,-0.18803913144065834,0.242283382272433,0.05315388404369369,-0.0326763761508577,0.6749104717956111
1216,1216.0,0.0,-0.016314497418346986,-0.04257508293271374,0.19957324002181842,-0.16140066761410576,0.08306375354601099,-0.2675078955755802,-0.04257508293271374,0.3068474054846538
1280,1280.0,0.0,0.1320826897120903,0.1735466818044737,0.11200032874811551,-0.037429355190534384,0.25678594535410326,0.22516153333526487,0.1735466818044737,0.04234864325714407
1344,1344.0,0.0,0.11759337128103678,0.0028539970445919075,0.21032384622536474,-0.04716264005023625,0.13181705071417893,0.0028539970445919075,-0.01947810044171662,0.519936549138366
1408,1408.0,0.0,0.06909116429822795,-0.026197514841252843,0.1797380543378589,-0.0766186337045973,0.16730204548847852,-0.09550024628400887,0.3764701708325202,-0.026197514841252843
1472,1472.0,0.0,-0.05185280785952316,-0.0398110856778604,0.03426575163815767,-0.02334170605149229,-0.04344796695366567,-0.0398110856778604,-0.11901509641482334,-0.03364818419977413
1536,1536.0,0.0,0.04820703314059023,0.02301946656971947,0.09101815670974495,0.02301946656971947,0.22562086298710973,-0.01106829310694524,0.028915577158467848,-0.02545244790540069
1600,1600.0,0.0,-0.037196042675572624,-0.029032538463767157,0.08440524692460749,0.01968965859140036,-0.07183596277310528,-0.029032538463767157,-0.17620762448776875,0.07140625375537768
1664,1664.0,0.0,0.009377871287064654,-0.0027173642562087,0.11951021138085341,-0.08353438873649069,-0.0027173642562087,-0.15298583142583946,0.12680278866793204,0.15932415218593007
1728,1728.0,0.0,-0.10670491508635024,-0.1293832832071917,0.08014534234646864,-0.1293832832071917,-0.22858707012392382,0.0010575725089096793,-0.13551294105124992,-0.04109885355829562
1792,1792.0,0.0,0.09060783427889338,0.07291455393619796,0.13616366623574427,0.24073768053673533,-0.09096700343403187,0.07291455393619796,-0.018378244132621506,0.24873218448818696
1856,1856.0,0.0,-0.05478490031840459,-0.032648185935400476,0.08214484182191488,0.014054598935783414,-0.032648185935400476,0.02935125894590441,-0.08711926345106531,-0.19756291008724503
1920,1920.0,0.0,0.01574970306889245,0.07689245010700214,0.1001749050627378,0.08167531480318611,0.07689245010700214,-0.01780488511575335,0.1042557343314825,-0.16627009878145516
1984,1984.0,0.0,0.053440580098396695,0.089957602313246,0.1013212956839557,0.11164358660805766,-0.11565221719006626,0.0033031031785124647,0.089957602313246,0.1779508255822336
2048,2048.0,0.0,-0.046345091922886106,-0.09474367293964965,0.14920633817331264,-0.16959711802227573,0.08244662320210995,0.17037058499695762,-0.22020187685157275,-0.09474367293964965
2112,2112.0,0.0,-0.050745533899795234,-0.047059389045112615,0.20400184608577424,0.124194401295568,-0.08726422137062666,0.16632862979167287,-0.4099270901704778,-0.047059389045112615
2176,2176.0,0.0,0.03543828504141721,-0.015021510803470604,0.14730763849810635,0.20923257428033176,-0.1471258647290102,-0.07753600092718684,0.20764222738642196,-0.015021510803470604
2240,2240.0,0.0,-0.035179486917663004,-0.049980169878044725,0.025603716362091043,-0.049980169878044725,-0.024934056636639623,-0.06046996783820579,-0.05082400525092696,0.010310765015502061
2304,2304.0,0.0,0.06653051299925636,0.026165936385730212,0.09094920769220931,0.23074825660177803,0.010859503309610068,-0.028134326195926165,0.026165936385730212,0.09301319489508961
