,Time[ms],Stimulation[V],mean delta F/F,median delta F/F,STD delta F/F,delta F/F repetition #1,delta F/F repetition #2,delta F/F repetition #3,delta F/F repetition #4,delta F/F repetition #5
1024,1024.0,0.0,0.2846573858884908,0.2820070992866251,0.18521237941971974,0.12861070403429958,0.2900249659555151,0.10115215971639123,0.2820070992866251,0.6214920004496232
1088,1088.0,0.0,0.063474543582658,0.0028144421086489517,0.13450666697386104,0.04300749694187781,0.32625964593735807,-0.0474274652486242,0.0028144421086489517,-0.007281401825970668
1152,1152.0,0.0,-0.030449717358176077,-0.1128603414497622,0.24714012432438748,-0.36323228408444036,0.2305719473445301,-0.1128603414497622,-0.18556937886985791,0.27884147026865
1216,1216.0,0.0,0.053254834088037085,0.019496141625056744,0.05061122137658054,0.07567187859556497,0.019496141625056744,0.008967720869483765,0.01919564393286686,0.14294278541721306
1280,1280.0,0.0,-0.03950528334589734,-0.06449093060389874,0.1240545273734401,-0.15710877226979275,0.12960735360871534,-0.18226980128743372,-0.06449093060389874,0.07673573382292317
1344,1344.0,0.0,0.022954503177438725,0.08915115751248294,0.18338791106588664,-0.12106531665193106,0.08915115751248294,0.1138049258326333,0.27595317687332704,-0.2430714276793186
1408,1408.0,0.0,0.03384794574465689,0.03110531093962771,0.09106118363492771,-0.05723836399530055,0.03110531093962771,0.15393226980128719,-0.07517432309795404,0.11661483507562413
1472,1472.0,0.0,-0.05268707949548659,-0.015253288553036705,0.13258001133545225,-0.04822750009083504,-0.29993191103041306,-0.015253288553036705,0.003882781358054503,0.09609452083879741
1536,1536.0,0.0,-0.1309229093393544,-0.10793672674639006,0.0830296501225395,-0.15260334031756012,-0.05121425329096684,-0.28059986939080145,-0.10793672674639006,-0.0622603569510536
1600,1600.0,0.0,0.08961167177267594,0.19080604534005013,0.1359324100770282,0.19619218331779056,-0.06282342260553801,0.19080604534005013,0.21363338732467188,-0.0897498345135949
1664,1664.0,0.0,0.1782060509052309,0.1760440308669994,0.14488816264437676,0.10645899693582207,0.1760440308669994,0.30359641757626626,-0.05095863344476243,0.3558894425918292
1728,1728.0,0.0,0.0024389426204130026,-0.03631958234978213,0.1679806677777136,-0.0009204645923912928,-0.190172492056287,0.31335712286593886,-0.07374987076541344,-0.03631958234978213
1792,1792.0,0.0,0.07011084161626571,0.09091012256014519,0.0758809103209769,0.1357443046253348,0.09091012256014519,0.16116242186771143,-0.020689021378272564,-0.016573619593590327
1856,1856.0,0.0,-0.05319840274382105,-0.06880390376758987,0.11800996762022105,0.16615597030290574,-0.06880390376758987,-0.0514040488851575,-0.14746527897439432,-0.1644747523948693
