,Time[ms],Stimulation[V],mean delta F/F,median delta F/F,STD delta F/F,delta F/F repetition #1,delta F/F repetition #2,delta F/F repetition #3,delta F/F repetition #4,delta F/F repetition #5
59,59,0.0,-0.04249912065331449,0.14173069036226932,0.4827374856700623,-0.9774300804155288,0.3755192364092037,0.007518135854033953,0.14173069036226932,0.24016641452344942
118,118,0.0,0.002047868346681074,0.015695915279878958,0.12079860308056528,0.05880640296273852,-0.1964806569440371,0.17082875357221383,-0.03861107313738885,0.015695915279878958
177,177,0.0,0.2979311629426106,0.30181543116490167,0.14990486359546723,0.5252514077084772,0.14218679179886423,0.1306550890305564,0.38974709501025306,0.30181543116490167
236,236,0.0,0.14053681462435974,0.05029318768087648,0.24308390075878306,0.05029318768087648,-0.018625856506785336,0.14765882611562983,-0.07932740943267258,0.6026853252647503
295,295,0.0,0.24219732647018946,0.24208281120857444,0.14390787937153532,0.3811206931690472,0.24208281120857444,0.41112332380743005,0.023671907040328136,0.15298789712556737
354,354,0.0,0.12688662560188876,0.139372163388805,0.20040268454648671,0.2504527376800031,-0.19811235236089267,0.3972961090349528,0.045424470266575576,0.139372163388805
413,413,0.0,0.01795958158266884,0.03554627390635322,0.2569086355846013,0.1649246213599016,-0.3846695283547071,0.03554627390635322,-0.10554203691045796,0.3795385779122544
472,472,0.0,0.0994234424552265,0.14454368517876653,0.19642643915406294,-0.27221908427617314,0.14454368517876653,0.10972741261815784,0.2939986329460014,0.22106656580937986
531,531,0.0,-0.03206078297452866,-0.1435325264750378,0.29155359810218767,0.23520814287294786,-0.4412349694723651,-0.17148823917344463,0.36074367737525637,-0.1435325264750378
590,590,0.0,0.14629533508979167,0.194944943610526,0.1807247361166183,0.18630665043992678,0.194944943610526,-0.20642998461200265,0.28377306903622684,0.27288199697428145
649,649,0.0,0.0880258974457571,0.0028467795119807918,0.14850363662324934,-0.04097639941071339,0.24915349134828163,0.0028467795119807918,-0.057203007518796915,0.2863086232980334
708,708,0.0,0.1634423835736812,0.15016396939238,0.26743824222046764,-0.006329593031042594,0.15016396939238,0.23473290833150157,-0.17898017771701988,0.617624810892587
767,767,0.0,0.039926143833875105,-0.02038629733365178,0.11989851445093307,-0.02038629733365178,-0.043826485722665134,-0.09487799516377231,0.22502255639097746,0.13369894099848728
826,826,0.0,0.02674668998628506,0.08151242031215648,0.1759133759759407,0.24253346765036402,-0.2742581384808168,0.08151242031215648,0.12592754613807255,-0.04198184568835092
885,885,0.0,0.11269807298886199,0.048956937799043185,0.15059454302306993,0.11562716542539853,-0.029866424934012398,0.029566937788525163,0.048956937799043185,0.3992057488653555
944,944,0.0,-0.01827623322183164,0.02019996156824818,0.13341120575378052,0.02019996156824818,0.16303623323646263,-0.20250604528467783,-0.1362187286397813,0.06410741301059011
1003,1003,0.0,-0.04053816383703912,-0.019000425078464955,0.09214326377420541,-0.019000425078464955,-0.0073852880795584165,-0.1836337656627831,0.09450717703349279,-0.08717851739788189
1062,1062,0.0,-0.006970338763841238,-0.03385501373077028,0.17604413185784104,-0.1801575701816192,-0.03385501373077028,0.32386238733787653,-0.016486671223513334,-0.12821482602117992
1121,1121,0.0,0.05777258186730379,0.10556429466499596,0.13652764444267762,0.12572423471318833,0.10556429466499596,-0.13262255440756207,0.2488202323991796,-0.058623298033282915
1180,1180,0.0,-0.006378006833305927,-0.005748516157397189,0.2852174637007445,0.5003057071151144,-0.21714879889087368,-0.005748516157397189,0.020883116883116976,-0.3301815431164901
1239,1239,0.0,0.022261884630730866,0.13978093901579766,0.18264212344711678,0.13978093901579766,0.14798837550323937,-0.15710046163992084,0.21721394395078608,-0.23657337367624798
1298,1298,0.0,-0.07265544382062536,-0.13429493161276554,0.1256622975064259,-0.1973819824960842,-0.13429493161276554,-0.04087711584963731,0.15734791524265218,-0.14807110438729196
1357,1357,0.0,0.005245901937317882,-0.015725064654597835,0.2929033107438461,0.4464546709135691,-0.015725064654597835,-0.46615739723016053,-0.041028024606971934,0.1026853252647506
1416,1416,0.0,-0.08158970232561936,-0.15145021632417774,0.20325266648301307,-0.15145021632417774,-0.1975684538886075,-0.3379753792042207,0.25067942583732056,0.028366111951588575
1475,1475,0.0,0.035105715229713744,0.023254325859173017,0.34663137756722817,-0.42050741558116383,0.023254325859173017,0.6418883271048583,0.052489405331510496,-0.1215960665658093
1534,1534,0.0,0.11101627413820421,0.08127016290292487,0.11919423409882145,0.27757623753151667,0.08127016290292487,0.21847658826115632,-0.033777170198222836,0.011535552193646036
1593,1593,0.0,0.04705434692034958,0.02289172687764965,0.22622213708318017,-0.1463026908049123,0.02289172687764965,0.28611782809408665,-0.24702665755297337,0.31959152798789725
1652,1652,0.0,0.030255617922381205,-0.09720121028744311,0.24089862422492916,0.23105052610738738,-0.21442930652944772,-0.166069465816663,0.39792754613807246,-0.09720121028744311
1711,1711,0.0,-0.09411381361593363,-0.051248108925869805,0.08801883531469064,-0.049489614692575276,-0.22240648412296363,-0.16756429984611995,0.020139439507860533,-0.051248108925869805
1770,1770,0.0,-0.08990758320108584,-0.16868542536821277,0.23017257282826356,-0.17837573442495053,-0.3451462393686512,-0.16868542536821277,-0.09829118250170872,0.34096066565809396
1829,1829,0.0,-0.03968170509835358,-0.036751879699248036,0.1081105940362931,0.11028165815539216,0.0034926813661449946,-0.05152780830951852,-0.036751879699248036,-0.22390317700453852
1888,1888,0.0,-0.09463001183876674,-0.05416055669608335,0.11010195859775858,-0.043154198668864094,-0.05416055669608335,0.062079577929215354,-0.1983157894736841,-0.23959909228441748
1947,1947,0.0,0.18306738865985336,0.16076700459434115,0.16219851652405773,0.16076700459434115,0.03322579785106787,0.012002637942405029,0.4557484620642515,0.25359304084720136
2006,2006,0.0,-0.03848510435121421,0.008321056523789696,0.1651526829527276,0.008321056523789696,0.026155117711360518,0.1743789843921742,-0.07393574846206416,-0.3273449319213313
2065,2065,0.0,0.009832241402479491,-0.028701530864772735,0.15297608583023742,-0.028701530864772735,0.2110805982883195,0.13513959111892732,-0.039726589200273374,-0.22863086232980323
2124,2124,0.0,-0.08073177377915922,-0.12739063530446249,0.1940405837169523,0.02019996156824818,-0.1290372463806756,-0.12739063530446249,-0.3782857142857143,0.2108547655068081
2183,2183,0.0,-0.09100818823444942,-0.060683666739942764,0.17429558137547405,-0.2054992342764641,0.16176713680113056,-0.060683666739942764,-0.3481667805878332,-0.002458396369137556
2242,2242,0.0,-0.016403091043270385,0.021345350626511352,0.06714822624472194,0.0439577716571653,0.045191564241341665,0.021345350626511352,-0.11781271360218727,-0.07469742813918297
2301,2301,0.0,0.19994705426411946,0.29527368652451086,0.1557247241100268,-0.018604461576983096,0.046460660676673586,0.29527368652451086,0.30255092276144896,0.3740544629349471
2360,2360,0.0,-0.09029694779949839,-0.1100720304193139,0.12996583156878952,-0.1100720304193139,0.04845495507505281,-0.2968674433941525,-0.14216814764183183,0.04916792738275349
2419,2419,0.0,0.031604339009603986,0.11724659606656583,0.20319540523733132,0.21837969405996488,0.004399178819953553,0.16727852275225333,-0.3492822966507177,0.11724659606656583
2478,2478,0.0,-0.024673569583252765,-0.09680725311966844,0.15175738080010825,-0.09680725311966844,0.22195856773402303,-0.18905253901956476,-0.13473137388926856,0.07526475037821491
2537,2537,0.0,0.10671990754074623,0.12710485821059572,0.12151220462539152,0.1762095811521373,-0.11815927693497218,0.12710485821059572,0.10752153110047853,0.24092284417549173
2596,2596,0.0,-0.08828785102760231,-0.07106962552334169,0.05137603936910791,-0.07106962552334169,-0.04237608979657124,-0.18568916245328648,-0.09011073137388928,-0.052193645990922834
2655,2655,0.0,-0.012607211125816078,-0.008131618759455301,0.15550679168422618,0.045541625663093215,-0.011917775348601634,0.19605407781930093,-0.2845823650034176,-0.008131618759455301
2714,2714,0.0,0.22176236280171818,0.32186081694402424,0.16727209041145974,0.34746379554308104,0.37334364252006297,-0.06666300285777081,0.13280656185919357,0.32186081694402424
