,Time[ms],Stimulation[V],mean delta F/F,median delta F/F,STD delta F/F,delta F/F repetition #1,delta F/F repetition #2,delta F/F repetition #3,delta F/F repetition #4,delta F/F repetition #5
111,111.0,0.0,0.3574121882514681,0.33573075149838644,0.07506181105882315,0.33573075149838644,0.24589465099899901,0.3232934980757549,0.4338791433348371,0.44826289734936303
222,222.0,0.0,0.27555882927011466,0.298683410978327,0.12897248282882534,0.4310742277547255,0.04489009155947658,0.298683410978327,0.3456649239669861,0.25748149209105825
333,333.0,0.0,0.1865578686671016,0.17067773167358233,0.06454085045001873,0.17067773167358233,0.0925973977832968,0.27808385659307305,0.1557018125845917,0.23572854470096422
444,444.0,0.0,0.17292303954660254,0.1350017250072981,0.09907209327053924,0.1964960811433839,0.061070541572450475,0.35136722706096835,0.1350017250072981,0.12067962294891198
555,555.0,0.0,0.2199505629534138,0.1684647302904565,0.1162938666623219,0.1684647302904565,0.3142862438373428,0.3978529471338873,0.10427005652716224,0.1148788369782202
666,666.0,0.0,0.06732278034001919,0.16370211889820874,0.138392067271611,0.18155832180728432,-0.15144382251547636,0.18438322868138576,-0.04158594517130651,0.16370211889820874
777,777.0,0.0,-0.0002485466632099309,0.015767634854771687,0.09653068805342352,0.015767634854771687,-0.16862512510657227,0.02286813854567576,0.1318170961492529,-0.0030704777591777643
888,888.0,0.0,0.019313242342173093,0.011027912666345238,0.0544104952361342,0.08639926233287219,0.011027912666345238,-0.048409965566133084,0.07672301690507155,-0.02917401462729044
999,999.0,0.0,0.045425669526488716,0.06574458275703081,0.07777777974220736,0.06574458275703081,-0.043685361604329676,-0.03710755519546267,0.07847456277699638,0.16370211889820874
1110,1110.0,0.0,0.03551472160418597,-0.008548997842608756,0.10851489130482854,-0.026279391424619613,0.0010193868851241911,0.250739315373709,-0.03935670497067496,-0.008548997842608756
1221,1221.0,0.0,0.01921768991034904,0.018360203743655455,0.09225186655283643,0.16201014292300597,-0.04985728583608271,0.06862467085274467,-0.10304928213157821,0.018360203743655455
1332,1332.0,0.0,0.019321902885273218,0.036890492261142785,0.04564197667719433,0.023144306131857906,0.06207139415057266,-0.06846262912700003,0.04296595100979277,0.036890492261142785
1443,1443.0,0.0,-0.0021665207469657886,0.009686579443220714,0.08948657538503368,0.08934993084370677,-0.08622159617451904,0.09833907231112037,0.009686579443220714,-0.12198659015835775
1554,1554.0,0.0,0.010224221079357157,0.050131365940394496,0.0834132489311969,-0.14910096818810506,0.07975312303072991,0.005732226048207728,0.050131365940394496,0.06460535856555871
1665,1665.0,0.0,0.103216657663399,0.10686952512678664,0.10439605637063633,0.10686952512678664,0.2712495829780923,0.12477212882317214,0.06621374167352242,-0.05302169028457863
1776,1776.0,0.0,-0.023233537079021177,0.0045182111572152185,0.06725270054204203,0.0045182111572152185,0.044056047744374736,-0.15159003443386662,0.005387330484859857,-0.01853924034768907
1887,1887.0,0.0,-0.013275806123575285,0.01613646841862616,0.09557264146259714,0.01613646841862616,0.0790858879786484,-0.14794409560461796,0.08818768079403413,-0.10184497220456716
1998,1998.0,0.0,0.007064586749553764,0.013030439744168128,0.06221205885371379,-0.08252650991240205,0.037216888460540366,-0.033097022483289315,0.013030439744168128,0.10069913793875171
2109,2109.0,0.0,-0.04389357415100276,-0.052538291453687706,0.08940587196350858,-0.10779160903642221,-0.13926678281499064,0.11948551752076175,-0.03935670497067496,-0.052538291453687706
2220,2220.0,0.0,-0.04014045337473047,-0.05946700802979164,0.07002466408305741,-0.004333794375288083,-0.1337620936353191,0.07299979744784302,-0.0761391682810965,-0.05946700802979164
2331,2331.0,0.0,-0.07473093707806434,-0.09193176579068696,0.08815625968984697,-0.09193176579068696,0.08592504726248258,-0.18476807778002824,-0.09795387595870597,-0.08492601312338309
2442,2442.0,0.0,0.024703122672046135,0.03054453793972634,0.08669570329886428,0.17805440295066854,0.03054453793972634,-0.04768077780028346,-0.06881452190759271,0.03141197217771197
2553,2553.0,0.0,-0.007392276113558726,-0.015961113249603795,0.08294094687236334,0.1336099585062241,-0.019164473440338236,-0.126979947336439,-0.008465805047636691,-0.015961113249603795
2664,2664.0,0.0,-0.013374162384186964,-0.02325298764431835,0.05397537955839278,-0.06316274781005071,0.08459057715831993,-0.02325298764431835,-0.0613306440911865,-0.0037150095336991734
2775,2775.0,0.0,-0.02220582808089027,-0.011491202462779623,0.08884296278135992,-0.08086675887505752,-0.1532787189087002,0.030524610087097646,-0.011491202462779623,0.10408292975498834
