,Time[ms],Stimulation[V],mean delta F/F,median delta F/F,STD delta F/F,delta F/F repetition #1,delta F/F repetition #2,delta F/F repetition #3,delta F/F repetition #4,delta F/F repetition #5
72,72,0.0,0.31533140386823144,0.3449781659388645,0.17816996522278788,0.49420559843224565,0.3449781659388645,-0.011970381354691882,0.29834488013432864,0.4510987561904103
144,144,0.0,0.24838324329946526,0.20905589027952198,0.21009175101646294,0.5441414850119762,0.03987001117091491,0.015801163543181004,0.20905589027952198,0.43304766649173226
216,216,0.0,0.1558716447791209,0.1731032439220555,0.14820499871052994,0.21510657344010872,0.13673876984529965,-0.10083932502788512,0.1731032439220555,0.35524896171602577
288,288,0.0,0.12223878096109828,0.1265820998715976,0.11454250579941519,0.21075169961048099,0.10422802207101975,-0.08044317402092288,0.1265820998715976,0.2500752572733159
360,360,0.0,0.09058511493958828,0.07323446156823869,0.07291458193733551,0.07323446156823869,0.0430926508919806,-0.007872940304186131,0.14989205740006484,0.19457934514184336
432,432,0.0,0.01777122346241472,0.03617345384381024,0.06285010477945192,0.10429922821958257,0.03617345384381024,-0.04811891684471019,0.05665222728619609,-0.0601498751928051
504,504,0.0,0.04974330051050101,-0.03910454653359724,0.1556591372339767,-0.0399922580020805,0.3227040384550286,-0.03910454653359724,0.11710008324984833,-0.11199081461669413
576,576,0.0,0.05656567448998222,0.08075235286647572,0.11527848547698664,0.17533205912950925,0.1386344402694559,-0.15519870963126278,0.08075235286647572,0.04330822981573302
648,648,0.0,0.03989965327267737,-0.054344808909651106,0.35915759147036597,0.7140783393414466,-0.054344808909651106,0.0608730150987453,-0.277687629636946,-0.243420649530208
720,720,0.0,-0.005840785351886676,0.025936833553366512,0.12841325506620122,0.191299929838144,0.025936833553366512,-0.1839718512303703,0.037885736055650356,-0.10035457497622395
792,792,0.0,0.09552605277531345,0.032476896516705565,0.14485084094390194,0.29872015096895954,0.032476896516705565,-0.037010298885560886,-0.053279902922210715,0.23672341819867382
864,864,0.0,-0.07664455845669066,-0.0011481729132422653,0.19763495340208703,0.06578278857087588,-0.24599708879184867,-0.3649876914171617,0.1631273722679235,-0.0011481729132422653
936,936,0.0,0.070547859524146,0.05792812064606706,0.06496294052398992,0.030459923063895878,0.11579161165837291,-0.018617341281068043,0.16717698353346216,0.05792812064606706
1008,1008,0.0,0.008412572442159805,0.04904685978750135,0.12098491443737892,-0.184864394067694,-0.07178497681188867,0.14273078186329513,0.04904685978750135,0.10693459143958522
1080,1080,0.0,0.01582166677394683,0.03956484316575175,0.07439029248647035,0.09346043113250929,0.0026200873362445397,-0.12050704207031332,0.03956484316575175,0.06397001430554188
1152,1152,0.0,0.04951422670465153,0.0582264857650534,0.11148500385628546,0.20320325163912628,-0.0539656748248198,0.13408062853444958,-0.09397355759055183,0.0582264857650534
1224,1224,0.0,0.03670071882753523,0.0033267319005299803,0.10018897598417228,-0.024217937241429212,-0.07083714159981055,0.0033267319005299803,0.05566451722143053,0.21956742385695538
1296,1296,0.0,0.003488168026490866,-0.0005077688636133193,0.07580129623319473,0.11678319986451528,-0.0005077688636133193,-0.1044814948505571,-0.04310648925512544,0.04875339323723492
1368,1368,0.0,0.06888623435591475,0.11022441619594897,0.08972197547685565,-0.07599254832700254,0.1556954740868623,0.11022441619594897,0.1475215532446276,0.006982276579137396
1440,1440,0.0,0.07326016969663474,0.08964615669785281,0.1322701694190858,-0.15708997653206871,0.03588910328018691,0.08964615669785281,0.1747823510321569,0.22307321400504576
1512,1512,0.0,0.06437554900324914,-0.029194494097965,0.20606682865098877,-0.11789611206541985,0.44156257404962573,0.1207867086816974,-0.09338093155169257,-0.029194494097965
1584,1584,0.0,0.17270548168294336,0.1584441962018887,0.09061249957055245,0.2841071298962091,0.1584441962018887,0.11441291149202153,0.2634787148481043,0.043084455976493054
1656,1656,0.0,0.018087885404877702,0.054874349169618114,0.09592082103586672,-0.11867031185735362,0.07484513049659787,-0.06469078953786711,0.054874349169618114,0.14408104875339325
1728,1728,0.0,-0.1779838687902779,-0.17851122169188596,0.03986966172459982,-0.21244526165533584,-0.17851122169188596,-0.23132005892510457,-0.13111145602573684,-0.13653134565332634
