,Time[ms],Stimulation[V],mean delta F/F,median delta F/F,STD delta F/F,delta F/F repetition #1,delta F/F repetition #2,delta F/F repetition #3,delta F/F repetition #4,delta F/F repetition #5
43,43,0.0,0.18572088516997723,0.05170179743603122,0.35319077032525786,0.7818068732661344,0.37610024508167783,-0.1664985733619524,-0.11450591657200493,0.05170179743603122
86,86,0.0,0.186725574772982,0.15917911942248442,0.25722463144532487,0.6194528635318045,0.15917911942248442,0.2599670709526149,-0.15972961546102382,0.05475843541902987
129,129,0.0,0.21352128670972337,0.13809070209308605,0.17757761075387385,0.5363457760314344,0.06179491336314992,0.06527192324601085,0.13809070209308605,0.26610311881493565
172,172,0.0,0.21026654667239164,0.2522830261326279,0.1909772348561176,0.2522830261326279,0.4833544720254042,0.08410699354349295,0.30586359538084584,-0.07427535372041254
215,215,0.0,0.2871900502116428,0.19528882131680006,0.1696021929637946,0.19528882131680006,0.5256858949295746,0.09996810537295146,0.45348499589940555,0.16152243353948229
258,258,0.0,0.04271866203847511,0.01817535615207672,0.09111128477986301,0.01817535615207672,-0.024622602824638046,0.10849345298128557,0.18167416319856572,-0.07012705931491443
301,301,0.0,0.07594233917568198,0.12891463446171336,0.15146737273460092,0.14419839867312986,0.2668720139610729,0.12891463446171336,0.024914295028857027,-0.18518764624636322
344,344,0.0,0.19142643292575318,0.2580248612884393,0.29687776900833274,0.5088704820763937,-0.32839991226648113,0.42670700905979814,0.09192972447061584,0.2580248612884393
387,387,0.0,0.1944166234691258,0.2055069058455342,0.1308830566295032,0.2055069058455342,0.05872424019911684,0.0747885903436862,0.4237263961123309,0.2093369848449609
430,430,0.0,0.060935518779304344,0.05017347844453189,0.1921877824737185,0.3117749849443684,-0.013655912953091364,0.2044531795495098,-0.24806813608879705,0.05017347844453189
473,473,0.0,0.14154327877116152,0.18462678976268662,0.16928636356814805,-0.15416966956590422,0.07846428196790084,0.18462678976268662,0.3086754315811994,0.29011956010992496
516,516,0.0,0.10892632632063799,0.22047188035445606,0.2531713174948383,0.4230385720350279,-0.29769318062615036,0.24747644538691635,-0.048662085547060016,0.22047188035445606
559,559,0.0,0.14918512309699555,0.07744024641873416,0.15038793950677978,0.07744024641873416,0.2616080028227306,0.007973656762091911,0.38693820582437227,0.011965503657048923
602,602,0.0,-0.00924376871643085,0.05795337038301094,0.19133270940713074,-0.32061091311172757,0.0764902777910225,-0.105631556716405,0.05795337038301094,0.24557997807194484
645,645,0.0,0.06328894446439415,0.16363154757963058,0.20542750853076416,0.22117463545625965,0.071664934247542,0.19493651245183488,0.16363154757963058,-0.3349629074132964
688,688,0.0,0.24542968292473252,0.20649867814646228,0.26502096526278507,0.5858467188595236,-0.04655598256773141,0.5131500685303473,-0.03179106834493894,0.20649867814646228
731,731,0.0,0.1470533293240117,0.08838145323201486,0.1990772871723661,0.4375709589203384,0.316222118383033,-0.07886593050419365,-0.028041953411134166,0.08838145323201486
774,774,0.0,0.018508366287971156,0.028017508558786156,0.16944290868032238,0.2316197885300767,0.028017508558786156,0.12177713413845702,-0.013514133042641053,-0.27535846674482306
817,817,0.0,-0.08202136523022444,-0.010304287361941063,0.24223201748031756,0.03338894867263634,-0.05796134003413988,0.16737783064815034,-0.542607978075828,-0.010304287361941063
