,Time[ms],Stimulation[V],mean delta F/F,median delta F/F,STD delta F/F,delta F/F repetition #1,delta F/F repetition #2,delta F/F repetition #3,delta F/F repetition #4,delta F/F repetition #5
93,93,0.0,0.3919911559021502,0.38359967844742543,0.08171545373350245,0.5344731115946532,0.37720996823899217,0.3856268258000796,0.38359967844742543,0.2790461954296008
186,186,0.0,0.2531482325520788,0.2811247498560423,0.05115596584653801,0.30643456636617944,0.17241454972325687,0.29125341361399826,0.2811247498560423,0.21451388320091722
279,279,0.0,0.2647836369701415,0.2054811052172529,0.0774836066759225,0.32048492384208876,0.2054811052172529,0.3908625213443836,0.20473890957189034,0.202350724875092
372,372,0.0,0.2065020016337317,0.23178953258108942,0.11777346236834972,0.28007460366801334,0.23178953258108942,0.008656746610184512,0.35412402579262126,0.15786509951674976
465,465,0.0,0.15545705947290242,0.14716602506347773,0.10694962297543147,0.09754429592788307,0.15865693174400317,0.0260654342949957,0.34785261033415243,0.14716602506347773
558,558,0.0,0.11571049859957405,0.10674541498290321,0.051325994207509294,0.10674541498290321,0.08648977778265382,0.15381640557601572,0.18918579923488724,0.04231509542141028
651,651,0.0,0.13789303094749936,0.09791731426795137,0.09576174470346888,0.09791731426795137,0.23866834157071629,0.05041141857600971,0.2654462112098701,0.037021869112949364
744,744,0.0,0.05050886675532522,0.08033505394982976,0.06022976864734765,-0.033758159776189074,0.08033505394982976,-0.005479631359436554,0.0843277327692859,0.12711933819313612
837,837,0.0,0.03248573955007335,0.07216118677985629,0.06007279649591732,0.08050979173142654,-0.04601780591226499,-0.03519220357336225,0.07216118677985629,0.09096772872471112
930,930,0.0,0.06509216702999292,0.041510736150692756,0.043244316060866546,0.10674541498290321,0.03218339102244119,0.041510736150692756,0.018352442146192388,0.12666885084773508
1023,1023,0.0,-0.06033296874388244,-0.05427054886287828,0.06653189201499761,0.013242151072427641,0.004668155063933546,-0.16425209874045826,-0.05427054886287828,-0.10105250225243688
1116,1116,0.0,0.015160621052695816,-0.00901460988498625,0.13653030243762412,-0.00901460988498625,-0.07172282897876558,-0.16739351606704067,0.09624342214037708,0.22769063805389453
1209,1209,0.0,-0.015660104649765933,-0.016343699613867498,0.05997939027772839,-0.019334783960211557,-0.11154751260292146,-0.016343699613867498,-0.008865500943562941,0.07779097387173381
1302,1302,0.0,0.04610956440342343,0.07317376437674841,0.055606100036294126,0.07317376437674841,0.009133346864217667,-0.042391284946780496,0.07680203421912318,0.11382996150380838
1395,1395,0.0,0.0271477527294333,0.02671989623803356,0.05483782765943314,0.002921976997202207,0.1061607578757976,0.02671989623803356,-0.058033398137959706,0.057969530674092856
1488,1488,0.0,0.020253605932408412,0.023977092578675866,0.1023837427345454,-0.03786136151694129,0.023977092578675866,0.18745574944816953,0.04958409112936798,-0.12188754197723005
1581,1581,0.0,-0.0263459857615889,-0.03362149491007111,0.11858832812863344,-0.23382032949953385,0.11774612038464291,-0.03362149491007111,0.05347236871361863,-0.03550659349660107
1674,1674,0.0,-0.02440428589752337,-0.03388327968728626,0.03910053174467055,-0.004911408144233913,0.040993093763542446,-0.03388327968728626,-0.06731509301649385,-0.056904742403145275
1767,1767,0.0,0.021982597419616393,0.01798877876975986,0.03939590421149052,-0.03860739819707815,0.05040620080197926,0.0761972191317073,0.003928186591713685,0.01798877876975986
1860,1860,0.0,-0.04634811761223216,-0.05905133873471601,0.04605246060444402,-0.07852036058439547,-0.05905133873471601,0.018604568144362312,-0.10632329716817088,-0.006450159718240768
1953,1953,0.0,-0.025547519396012797,-0.018864612532158674,0.05857476816685299,-0.04358097606465665,-0.018864612532158674,-0.12393724304931676,0.05259437054943304,0.006050864116635066
2046,2046,0.0,0.07537950730458107,0.07140467034926151,0.036040052064225364,0.07702828722412176,0.07140467034926151,0.06939081492411217,0.1361296244562398,0.022944139569170158
2139,2139,0.0,-0.00891631224514127,-0.01741644221855296,0.06952952159964448,-0.060615480261112915,-0.01741644221855296,-0.0057414161366516996,0.1190713744092041,-0.07987959701859286
2232,2232,0.0,-0.015141774654967712,0.0019272614236864806,0.04591931720132175,0.0019272614236864806,-0.0090894629153204,0.008394961832969366,-0.10394015929395257,0.02699852567777856
2325,2325,0.0,-0.01789652631870235,-0.042229431182617884,0.12297937260697743,0.11234069008392901,-0.1087718528351774,0.13221916145576126,-0.042229431182617884,-0.18304119911540673
2418,2418,0.0,0.004159576264161052,0.03478355064738109,0.08506313572077419,0.02256760957413735,-0.1629575587359228,0.06415511937980793,0.03478355064738109,0.06224916045540167
2511,2511,0.0,0.0010656376962413449,0.007347822724108517,0.06021439931732257,0.09617656201429879,0.024701177735478662,0.007347822724108517,-0.07973249562426243,-0.043164878368416815
2604,2604,0.0,0.06643563241536618,0.06024549740876512,0.04187026313640417,0.13360273546782706,0.09023088442613526,0.01873546053297002,0.06024549740876512,0.029363584241133386
2697,2697,0.0,0.0010031221408099145,0.05390115013988183,0.12751583736332522,0.05390115013988183,-0.229935435740185,0.09046448948993606,-0.0360834440333184,0.12666885084773508
2790,2790,0.0,-0.1064013335700151,-0.09666531736212867,0.06064636865218244,-0.056387939073671275,-0.1216847047981612,-0.21399120641134728,-0.09666531736212867,-0.04327750020476714
2883,2883,0.0,0.06025639549316895,-0.014112527199254061,0.13603987733443498,-0.014112527199254061,0.29659515411494325,0.12292580186462146,-0.02053033369631528,-0.08359611761815064
2976,2976,0.0,0.008040915997925158,-0.008865500943562941,0.03505342521090022,0.009884986011812162,0.07502509613327574,-0.021055825603741186,-0.008865500943562941,-0.01478417560815799
3069,3069,0.0,-0.09975259346111125,-0.07205470935654351,0.13189746382334577,-0.07205470935654351,-0.024295251208179935,-0.18166078642526945,0.08144288165839032,-0.30219510197395366
3162,3162,0.0,0.02878166488591003,0.04546850683921679,0.07315117121952561,0.08958657133975739,0.10133352349711201,0.009703885719045362,-0.1021841629655814,0.04546850683921679
3255,3255,0.0,0.29444068002465773,0.2564084279123859,0.10431326662669158,0.22474354989120274,0.2564084279123859,0.49649267895071886,0.2848875991311239,0.20967114423785713
3348,3348,0.0,0.6134410980684212,0.5855392562101268,0.1070522466425784,0.5465340379235311,0.5009078491928098,0.8116815507178257,0.5855392562101268,0.6225427962978128
3441,3441,0.0,0.694947578508774,0.695566075513305,0.0665193191107034,0.7081753186198319,0.695566075513305,0.8091945953342811,0.6495076938865102,0.6122942091899416
3534,3534,0.0,0.9479219507649106,1.0262943346313262,0.1358149791852809,0.7591544917625115,1.0682285695478309,1.0770004224254355,1.0262943346313262,0.8089319354574491
3627,3627,0.0,1.154188577387334,1.1400905537343,0.10146369624501503,1.0678893378924461,1.0578500156336568,1.1400905537343,1.165394329500168,1.3397186501760991
3720,3720,0.0,1.2774753832016859,1.3097612417069369,0.2313282561611315,1.5218526577556728,0.9433238799993419,1.522427220857107,1.090011915689371,1.3097612417069369
