,Time[ms],Stimulation[V],mean delta F/F,median delta F/F,STD delta F/F,delta F/F repetition #1,delta F/F repetition #2,delta F/F repetition #3,delta F/F repetition #4,delta F/F repetition #5
90,90,0.0,0.41150171989249024,0.22887817021938697,0.4026763543352158,1.0839180465899525,0.0763685298216944,0.6511672776384332,0.01717657519298383,0.22887817021938697
180,180,0.0,0.11268722491809662,0.17522686874356833,0.2271040750921925,0.17522686874356833,0.38193877060604603,0.2071773104379701,0.10164490967142205,-0.30255173486852344
270,270,0.0,0.12166133988892298,0.12817801701350512,0.09900690025056096,0.14538310412573696,0.12817801701350512,0.28358093768087966,0.06874671624297783,-0.017582075618484547
360,360,0.0,0.0463495837339659,0.15793941732587297,0.38714873104073494,-0.6099728693048928,-0.06742923054741201,0.15793941732587297,0.5711110212989531,0.18009957989730832
450,450,0.0,0.28442685495999653,0.46164618017737646,0.28145627205651597,0.5189447095144544,-0.04628250108136701,0.5577850665637659,-0.06995918037424724,0.46164618017737646
540,540,0.0,0.24377494289535967,0.2411344781014855,0.47985940041031044,0.5405557114790908,0.08376988513481028,0.2411344781014855,0.8938689730428808,-0.5404543332814689
630,630,0.0,0.055522371653525845,0.15528240236502253,0.15465702771904147,-0.21582935728318833,0.18421685009852445,0.17322014277445488,-0.019278179687184312,0.15528240236502253
720,720,0.0,-0.14262358734653258,-0.2095542173544033,0.22371820261962183,-0.24773131256431843,-0.1573028307781036,0.28018522091452813,-0.2095542173544033,-0.3787147969503657
810,810,0.0,0.08833368930473123,-0.10468706146505745,0.29619801660796086,-0.10468706146505745,0.5289085403950593,-0.20794906424850482,0.35593905346966814,-0.13054302162750903
900,900,0.0,0.07349892509439812,-0.05523572428815943,0.2951663642787476,0.09701562353821692,-0.23766040274907488,-0.06108431410380092,0.6244594430748088,-0.05523572428815943
990,990,0.0,0.14440876822435544,0.14330169597012601,0.2656667660463825,-0.18598559266535677,-0.05051184697457595,0.5908933050356935,0.22434627975589055,0.14330169597012601
1080,1080,0.0,-0.0454219969545058,0.08510969348062855,0.1772246370238797,0.09392833754326878,-0.3137886288268372,-0.20200655990738972,0.1096471729378006,0.08510969348062855
1170,1170,0.0,0.0753235424060756,-0.05694725377314457,0.21644605594672858,-0.14996725605762923,0.4115441918585091,-0.07636503955238283,0.2483530695550255,-0.05694725377314457
1260,1260,0.0,0.10574540935433148,-0.1508709534009619,0.4201422657853054,0.4757227055851811,-0.3032152640938147,0.7377580551803973,-0.1508709534009619,-0.2306674964991443
1350,1350,0.0,-0.1657277880419295,-0.32000771753810536,0.3525731805053117,0.514828328187857,-0.1985389532368915,-0.32000771753810536,-0.33581214889059535,-0.4891084487319123
1440,1440,0.0,0.13217338330900616,0.11334992998288462,0.16807629435156912,-0.1345308260828888,0.20113423367136044,0.38460351147983785,0.0963100674938367,0.11334992998288462
1530,1530,0.0,0.10132330784419682,0.08830780422745815,0.1428323842099576,0.06717185892038557,0.10174460518094865,-0.09843719853366786,0.08830780422745815,0.3478294694258596
1620,1620,0.0,-0.14577702413522498,-0.12981208247224504,0.18198103122062745,-0.312564318458228,-0.12981208247224504,-0.09079683580937672,-0.352705815786283,0.15699393185000785
